state_sigla,city,localizador,latitud,longitud
SP,iguape,"iguape SP, Brazil",-24.7042692,-47.5563733
SP,ilha comprida,"ilha comprida SP, Brazil",-24.7445292,-47.5525529
SP,pariquera-acu,"pariquera-acu SP, Brazil",-24.7146891,-47.8802361
SP,jacupiranga,"jacupiranga SP, Brazil",-24.703773,-48.0060639
SP,cajati,"cajati SP, Brazil",-24.7272376,-48.1077914
SP,barra do turvo,"barra do turvo SP, Brazil",-24.756421,-48.5056942
SP,eldorado,"eldorado SP, Brazil",-24.522583,-48.1093489
SP,cananeia,"cananeia SP, Brazil",-25.0104609,-47.9315628
SP,taubate,"taubate SP, Brazil",-23.031448,-45.5612792
SP,tremembe,"tremembe SP, Brazil",-22.95714,-45.547526
SP,lagoinha,"lagoinha SP, Brazil",-23.0898337,-45.1903825
SP,sao luis do paraitinga,"sao luis do paraitinga SP, Brazil",-23.2220531,-45.3108444
SP,catucaba,"catucaba SP, Brazil",-23.2916226,-45.21067510761371
SP,redencao da serra,"redencao da serra SP, Brazil",-23.2803652,-45.5345747
SP,natividade da serra,"natividade da serra SP, Brazil",-23.3783786,-45.4438173
SP,sao francisco xavier,"sao francisco xavier SP, Brazil",-22.9133573,-45.9593162
SP,monteiro lobato,"monteiro lobato SP, Brazil",-22.9553542,-45.8387146
SP,paraibuna,"paraibuna SP, Brazil",-23.3864203,-45.6626797
SP,jambeiro,"jambeiro SP, Brazil",-23.2556416,-45.6919926
SP,cacapava,"cacapava SP, Brazil",-23.099204,-45.707645
SP,caçapava,"caçapava SP, Brazil",-23.099204,-45.707645
SP,jacarei,"jacarei SP, Brazil",-23.30528,-45.96583
SP,igarata,"igarata SP, Brazil",-23.2063475,-46.156934
SP,santa branca,"santa branca SP, Brazil",-23.3974353,-45.8842294
SP,pindamonhangaba,"pindamonhangaba SP, Brazil",-22.9364,-45.4622602
SP,santo antonio do pinhal,"santo antonio do pinhal SP, Brazil",-22.8250504,-45.6674063
SP,campos do jordao,"campos do jordao SP, Brazil",-22.7395263,-45.5903769
SP,sao bento do sapucai,"sao bento do sapucai SP, Brazil",-22.6884605,-45.7329767
SP,guaratingueta,"guaratingueta SP, Brazil",-22.8057839,-45.1908926
SP,potim,"potim SP, Brazil",-22.8377227,-45.2565239
SP,cunha,"cunha SP, Brazil",-23.07753,-44.9567436
SP,campos de cunha,"campos de cunha SP, Brazil",-22.8925,-44.7945625
SP,aparecida,"aparecida SP, Brazil",-22.851552,-45.2340924
SP,roseira,"roseira SP, Brazil",-22.8980898,-45.3093218
SP,lorena,"lorena SP, Brazil",-22.7367652,-45.1070876
SP,canas,"canas SP, Brazil",-22.7029347,-45.0526508
SP,piquete,"piquete SP, Brazil",-22.6138451,-45.1777096
SP,cachoeira paulista,"cachoeira paulista SP, Brazil",-22.666498,-45.015384
SP,silveiras,"silveiras SP, Brazil",-22.66384,-44.852157
SP,cruzeiro,"cruzeiro SP, Brazil",-22.5783685,-44.9642044
SP,lavrinhas,"lavrinhas SP, Brazil",-22.570047,-44.902359
SP,pinheiros,"pinheiros SP, Brazil",-23.567249,-46.7019515
SP,queluz,"queluz SP, Brazil",-22.5371881,-44.7752585
SP,areias,"areias SP, Brazil",-22.5800929,-44.6975127
SP,sao jose do barreiro,"sao jose do barreiro SP, Brazil",-22.6452376,-44.5805246
SP,bananal,"bananal SP, Brazil",-22.6828195,-44.3221095
SP,arapei,"arapei SP, Brazil",-22.6738889,-44.4477778
SP,braganca paulista,"braganca paulista SP, Brazil",-22.9520235,-46.5418586
SP,tuiuti,"tuiuti SP, Brazil",-22.819324,-46.6937627
SP,vargem,"vargem SP, Brazil",-22.8902379,-46.4145366
SP,atibaia,"atibaia SP, Brazil",-23.1177393,-46.5547861
SP,bom jesus dos perdoes,"bom jesus dos perdoes SP, Brazil",-23.1353864,-46.4648052
SP,nazare paulista,"nazare paulista SP, Brazil",-23.1819309,-46.3992986
SP,piracaia,"piracaia SP, Brazil",-23.052545,-46.359374
SP,joanopolis,"joanopolis SP, Brazil",-22.930004,-46.275208
SP,pedra bela,"pedra bela SP, Brazil",-22.7950193,-46.4431811
SP,pinhalzinho,"pinhalzinho SP, Brazil",-22.7824349,-46.5901718
SP,campinas,"campinas SP, Brazil",-22.90556,-47.06083
SP,paulinia,"paulinia SP, Brazil",-22.7630391,-47.1532213
SP,cosmopolis,"cosmopolis SP, Brazil",-22.6437398,-47.1972086
SP,artur nogueira,"artur nogueira SP, Brazil",-22.572737,-47.172679
SP,engenheiro coelho,"engenheiro coelho SP, Brazil",-22.4896659,-47.2119005
SP,sumare,"sumare SP, Brazil",-22.8217964,-47.267105
SP,hortolandia,"hortolandia SP, Brazil",-22.85833,-47.22
SP,monte mor,"monte mor SP, Brazil",-22.945043,-47.312182
SP,jundiai,"jundiai SP, Brazil",-23.1887668,-46.884506
SP,varzea paulista,"varzea paulista SP, Brazil",-23.2113889,-46.8283333
SP,campo limpo paulista,"campo limpo paulista SP, Brazil",-23.207791,-46.788919
SP,jarinu,"jarinu SP, Brazil",-23.0949649,-46.7148565
SP,itatiba,"itatiba SP, Brazil",-22.9965861,-46.8412042
SP,morungaba,"morungaba SP, Brazil",-22.88,-46.79167
SP,valinhos,"valinhos SP, Brazil",-22.97056,-46.99583
SP,vinhedo,"vinhedo SP, Brazil",-23.0298535,-46.9749847
SP,louveira,"louveira SP, Brazil",-23.08639,-46.95056
SP,itupeva,"itupeva SP, Brazil",-23.1531055,-47.0580347
SP,itu,"itu SP, Brazil",-23.2638828,-47.298892
SP,cabreuva,"cabreuva SP, Brazil",-23.3076663,-47.1324726
SP,bom fim do bom jesus,"bom fim do bom jesus SP, Brazil",-23.30831575,-47.0246133249816
SP,salto,"salto SP, Brazil",-23.1989983,-47.2913682
SP,indaiatuba,"indaiatuba SP, Brazil",-23.09028,-47.21806
SP,elias fausto,"elias fausto SP, Brazil",-23.0416538,-47.3718002
SP,cardeal,"cardeal SP, Brazil",-23.07274425,-47.298411375
SP,capivari,"capivari SP, Brazil",-22.9999295,-47.5031066
