localizador,longitud
"varzea paulista SP, Brazil",-46.8283333
"campo limpo paulista SP, Brazil",-46.788919
"jarinu SP, Brazil",-46.7148565
"itatiba SP, Brazil",-46.8412042
"morungaba SP, Brazil",-46.79167
"valinhos SP, Brazil",-46.99583
"vinhedo SP, Brazil",-46.9749847
"louveira SP, Brazil",-46.95056
"itupeva SP, Brazil",-47.0580347
"itu SP, Brazil",-47.298892
"cabreuva SP, Brazil",-47.1324726
"bom fim do bom jesus SP, Brazil",-47.024214047964975
"salto SP, Brazil",-47.2913682
"indaiatuba SP, Brazil",-47.21806
"elias fausto SP, Brazil",-47.3718002
"cardeal SP, Brazil",-47.298411375
"capivari SP, Brazil",-47.5031066
"rafard SP, Brazil",-47.5306721
"mombuca SP, Brazil",-47.5650724
"nova odessa SP, Brazil",-47.2993805
"rio das pedras SP, Brazil",-47.6065667
"piracicaba SP, Brazil",-47.6493269
"saltinho SP, Brazil",-47.675489
"santa barbara d oeste SP, Brazil",-47.4137884
"santa barbara d'oeste SP, Brazil",-47.4137884
"americana SP, Brazil",-47.3306032
"limeira SP, Brazil",-47.401766
"cordeiropolis SP, Brazil",-47.4550551
"iracemapolis SP, Brazil",-47.5160966
"rio claro SP, Brazil",-47.5603933
"ajapi SP, Brazil",-47.530489968413725
"santa gertrudes SP, Brazil",-47.532034
"charqueada SP, Brazil",-47.775468
"sao pedro SP, Brazil",-47.9072359
"aguas de sao pedro SP, Brazil",-47.8750887
"itirapina SP, Brazil",-47.8212546
"ipeuna SP, Brazil",-47.7146714
"corumbatai SP, Brazil",-47.6249638
"analandia SP, Brazil",-47.661939
"sao carlos SP, Brazil",-47.891154
"agua vermelha SP, Brazil",-47.85035719090676
"santa eudóxia SP, Brazil",-47.8515182775
"ribeirao bonito SP, Brazil",-48.1781765
"dourado SP, Brazil",-48.3151079
"araras SP, Brazil",-47.3838889
"leme SP, Brazil",-47.389764
"santa cruz da conceicao SP, Brazil",-47.4555647
"pirassununga SP, Brazil",-47.4280861
"santa cruz das palmeiras SP, Brazil",-47.248023
"porto ferreira SP, Brazil",-47.4794943
"santa rita do passa quatro SP, Brazil",-47.4777943
"descalvado SP, Brazil",-47.6203241
"casa branca SP, Brazil",-47.0852175
"lagoa branca SP, Brazil",-47.047453507499995
"venda branca SP, Brazil",-47.13194621359218
"tambau SP, Brazil",-47.270344
"itobi SP, Brazil",-46.9743
"sao jose do rio pardo SP, Brazil",-46.887303
"mococa SP, Brazil",-47.002405
"igarai SP, Brazil",-46.833917075
"sao benedito das areias SP, Brazil",-47.072956127001305
"tapiratiba SP, Brazil",-46.7493221
"caconde SP, Brazil",-46.6434015
"divinolandia SP, Brazil",-46.7371151
"sao sebastiao da grama SP, Brazil",-46.8284162
"mogi mirim SP, Brazil",-46.958246
"jaguariuna SP, Brazil",-46.985062
"holambra SP, Brazil",-47.0545305
"santo antonio de posse SP, Brazil",-46.9210727
"conchal SP, Brazil",-47.172927
"mogi guacu SP, Brazil",-46.9425
"mogi guaçu SP, Brazil",-46.9425
"martinho prado junior SP, Brazil",-47.17493598177646
"estiva gerbi SP, Brazil",-46.9523302
"aguai SP, Brazil",-46.979384
"sao joao da boa vista SP, Brazil",-46.7881722
"vargem grande do sul SP, Brazil",-46.891286
"aguas da prata SP, Brazil",-46.7192121
"sao roque da fartura SP, Brazil",-46.718023310491176
"amparo SP, Brazil",-46.76444
"jaguariúna SP, Brazil",-46.985062
"pedreira SP, Brazil",-46.894846
"serra negra SP, Brazil",-46.70056
"aguas de lindoia SP, Brazil",-46.6291034
"lindoia SP, Brazil",-46.65
"socorro SP, Brazil",-46.5249112
"itapira SP, Brazil",-46.821667
"barao ataliba nogueira SP, Brazil",-46.7189683825
"eleuterio SP, Brazil",-46.725303325948275
"espirito santo do pinhal SP, Brazil",-46.74767
"santo antonio do jardim SP, Brazil",-46.6839541
"ribeirão preto SP, Brazil",-47.8066671
"ribeirao preto SP, Brazil",-47.8066671
"bonfim paulista SP, Brazil",-47.8168874
"guatapara SP, Brazil",-48.0360685
"dumont SP, Brazil",-47.9747665
"cravinhos SP, Brazil",-47.729444
"serrana SP, Brazil",-47.6053774
"sertaozinho SP, Brazil",-47.9720115
"pontal SP, Brazil",-48.0393457
"candia SP, Brazil",-48.00921787315389
"sao simao SP, Brazil",-47.5531095
"luis antonio SP, Brazil",-47.78008333333334
"são simão SP, Brazil",-47.5531095
"serra azul SP, Brazil",-47.5635821
"cajuru SP, Brazil",-47.3046035
"santa cruz da esperanca SP, Brazil",-47.4309885
"cassia dos coqueiros SP, Brazil",-47.164327
"santa rosa de viterbo SP, Brazil",-47.3654908
"batatais SP, Brazil",-47.592149
"brodowski SP, Brazil",-47.657217
"altinopolis SP, Brazil",-47.3712
"santo antonio da alegria SP, Brazil",-47.1523426
"franca SP, Brazil",-47.4699819
"patrocinio paulista SP, Brazil",-47.2801241
"itirapua SP, Brazil",-47.2193817
"restinga SP, Brazil",-47.483254
"sao jose da bela vista SP, Brazil",-47.6416942
"ribeirao corrente SP, Brazil",-47.590394
"jeriquara SP, Brazil",-47.5915669
"cristais paulista SP, Brazil",-47.420915
"pedregulho SP, Brazil",-47.4808786
"rifaina SP, Brazil",-47.429109
"ituverava SP, Brazil",-47.7797924
"sao benedito da cachoeirinha SP, Brazil",-47.889392625
"miguelopolis SP, Brazil",-48.030997
"igarapava SP, Brazil",-47.7476682
"aramina SP, Brazil",-47.789201
"buritizal SP, Brazil",-47.7097165
"guara SP, Brazil",-47.8250067
"pioneiros SP, Brazil",-47.76089755400956
"sao joaquim da barra SP, Brazil",-47.8608238
"ipua SP, Brazil",-48.012504
"orlandia SP, Brazil",-47.886667
"morro agudo SP, Brazil",-48.052795
"sales oliveira SP, Brazil",-47.836873
"nuporanga SP, Brazil",-47.7522561
"jardinopolis SP, Brazil",-47.7706807
"juruce SP, Brazil",-47.7250642525
"bebedouro SP, Brazil",-48.479083
"taiuva SP, Brazil",-48.4512476
"taiacu SP, Brazil",-48.511203
"monte azul paulista SP, Brazil",-48.638717
"severinia SP, Brazil",-48.80538
"viradouro SP, Brazil",-48.2968122
"terra roxa SP, Brazil",-48.331442
"pitangueiras SP, Brazil",-48.220951
"ibitiuva SP, Brazil",-48.3287237
"taquaral SP, Brazil",-48.412553
"colina SP, Brazil",-48.53867
"jaborandi SP, Brazil",-48.4144076
"barretos SP, Brazil",-48.5697509
"guaira SP, Brazil",-48.3148818
"colombia SP, Brazil",-48.6872822
"araraquara SP, Brazil",-48.1773096
"gaviao peixoto SP, Brazil",-48.492853
"ibate SP, Brazil",-47.9989614
"americo brasiliense SP, Brazil",-48.1052092
"santa lucia SP, Brazil",-48.0836814
"rincao SP, Brazil",-48.0724258
"motuca SP, Brazil",-48.1503832
"guariba SP, Brazil",-48.23158
"pradopolis SP, Brazil",-48.0746603
"barrinha SP, Brazil",-48.1550642
"jaboticabal SP, Brazil",-48.325223
"itapolis SP, Brazil",-48.8122696
"nova america SP, Brazil",-48.705055574999996
"tapinas SP, Brazil",-48.79770433289053
"tabatinga SP, Brazil",-48.6880522
"curupa SP, Brazil",-48.55802907424243
"nova europa SP, Brazil",-48.5661712
"boa esperanca do sul SP, Brazil",-48.3917372
"trabiju SP, Brazil",-48.3350302
"ibitinga SP, Brazil",-48.831903
"borborema SP, Brazil",-49.074135
"novo horizonte SP, Brazil",-49.2235377
"sales SP, Brazil",-49.4999228
"irapua SP, Brazil",-49.4101967
"sao jose do rio preto SP, Brazil",-49.3804212
"s jose do rio preto SP, Brazil",-49.3804212
"sao jose do rio pret SP, Brazil",
"potirendaba SP, Brazil",-49.3767154
"ipigua SP, Brazil",-49.3881146
"guapiacu SP, Brazil",-49.2253917
"bady bassitt SP, Brazil",-49.4517911
"neves paulista SP, Brazil",-49.635767
"mirassol SP, Brazil",-49.507449
"balsamo SP, Brazil",-49.5807484
"mirassolandia SP, Brazil",-49.462817
"monte aprazivel SP, Brazil",-49.7088402
"engenheiro balduino SP, Brazil",-49.701778547
"jaci SP, Brazil",-49.5710544
"poloni SP, Brazil",-49.8149752
"tanabi SP, Brazil",-49.6519879
"sebastianopolis do sul SP, Brazil",-49.9229043
"nhandeara SP, Brazil",-50.0406028
"jose bonifacio SP, Brazil",-46.43473669552859
"nova alianca SP, Brazil",-49.4981128
"nova itapirema SP, Brazil",-49.52234285714286
"mendonca SP, Brazil",-49.579059
"ubarana SP, Brazil",-49.7167796
"adolfo SP, Brazil",-49.6441918
"nipoa SP, Brazil",-49.7791476
"uniao paulista SP, Brazil",-49.8986804
"planalto SP, Brazil",-49.928323
"zacarias SP, Brazil",-50.0514502
"macaubal SP, Brazil",-49.9648439
"moncoes SP, Brazil",-50.097537
"turiuba SP, Brazil",-50.1082011
"lourdes SP, Brazil",-50.224966
"buritama SP, Brazil",-50.1448077
"general salgado SP, Brazil",-50.3608101
"magda SP, Brazil",-50.2260983
"nova castilho SP, Brazil",-50.3427479
"sao joao de iracema SP, Brazil",-50.352595
"floreal SP, Brazil",-50.1455638
"gastao vidigal SP, Brazil",-50.1907615
"nova luzitania SP, Brazil",-50.2619444
"auriflama SP, Brazil",-50.5554616
"guzolandia SP, Brazil",-50.6622974
"sud mennucci SP, Brazil",-50.9240834
"bandeirantes d'oeste SP, Brazil",-50.82242972140995
"pereira barreto SP, Brazil",-51.1052172
"suzanapolis SP, Brazil",-51.0246771
"ilha solteira SP, Brazil",-51.3410871
"itapura SP, Brazil",-51.5084479
"olimpia SP, Brazil",-48.910625
"baguacu SP, Brazil",-49.06531003657817
"cajobi SP, Brazil",-48.8106972
"monte verde paulista SP, Brazil",-48.77578286764706
"guaraci SP, Brazil",-48.9452074
"embauba SP, Brazil",-48.837455
"altair SP, Brazil",-49.0606135
"nova granada SP, Brazil",-49.3186951
"onda verde SP, Brazil",-49.2950997
"icem SP, Brazil",-49.1970982
"palestina SP, Brazil",-49.4320384
"orindiuva SP, Brazil",-49.3508333
"paulo de faria SP, Brazil",-49.3998592
"riolandia SP, Brazil",-49.6814309
"votuporanga SP, Brazil",-49.972028
"valentim gentil SP, Brazil",-50.0861511
"parisi SP, Brazil",-50.0135808
"cosmorama SP, Brazil",-49.7782265
"alvares florence SP, Brazil",-49.9085255
"boa vista dos andradas SP, Brazil",-49.88780041774193
"americo de campos SP, Brazil",-49.735904
"pontes gestal SP, Brazil",-49.7031406
"cardoso SP, Brazil",-49.9139767
"mira estrela SP, Brazil",-50.136873
"fernandopolis SP, Brazil",-50.2500762
"fernandópolis SP, Brazil",-50.2500762
"brasitânia SP, Brazil",-50.322597215975414
"brasitania SP, Brazil",-50.322597215975414
"macedonia SP, Brazil",-50.193911
"meridiano SP, Brazil",-50.172574
"pedranopolis SP, Brazil",-50.1102463
"sao joao das duas pontes SP, Brazil",-50.378858
"estrela d oeste SP, Brazil",-50.3986216
"populina SP, Brazil",-50.5372875
"guarani d'oeste SP, Brazil",-50.3379634
"ouroeste SP, Brazil",-50.3736414
"indiapora SP, Brazil",-50.2906035
"jales SP, Brazil",-50.5492435
"sao francisco SP, Brazil",-50.696603
"vitoria brasil SP, Brazil",-50.4847947
"dirce reis SP, Brazil",-50.606276
"pontalinda SP, Brazil",-50.5235329
"palmeira d oeste SP, Brazil",-50.762159
"marinopolis SP, Brazil",-50.8227778
"aparecida d oeste SP, Brazil",-50.8808706
"dolcinopolis SP, Brazil",-50.513261
"paranapua SP, Brazil",-50.5858761
"mesopolis SP, Brazil",-50.6190438
"santa albertina SP, Brazil",-50.7278392
"turmalina SP, Brazil",-50.4763212
"urania SP, Brazil",-50.6450868
"aspasia SP, Brazil",-50.7279226
"santana da ponte pensa SP, Brazil",-50.7975649
"santa salete SP, Brazil",-50.6889625
"tres fronteiras SP, Brazil",-50.890528
"nova canaa paulista SP, Brazil",-50.9481571
"santa fe do sul SP, Brazil",-50.9270837
"santa rita d oeste SP, Brazil",-50.8317569
"santa clara d oeste SP, Brazil",-50.9263889
"rubineia SP, Brazil",-50.9995571
"catanduva SP, Brazil",-48.9712817
"pirangi SP, Brazil",-48.6652131
"elisiario SP, Brazil",-49.1111015
"paraiso SP, Brazil",-48.776105
"palmares paulista SP, Brazil",-48.803656
"pindorama SP, Brazil",-48.90861
"roberto SP, Brazil",-48.97520952045455
"itajobi SP, Brazil",-49.0596336
"marapoama SP, Brazil",-49.1314719
"urupes SP, Brazil",-49.2921996
"sao joao de itaguacu SP, Brazil",-49.178828040909096
"ibira SP, Brazil",-49.2424619
"termas de ibira SP, Brazil",-49.15965690882353
"catigua SP, Brazil",-49.0578923
"tabapua SP, Brazil",-49.0332398
"novais SP, Brazil",-48.9188283
"uchoa SP, Brazil",-49.171295
"cedral SP, Brazil",-49.2699665
"taquaritinga SP, Brazil",-48.5054848
"guariroba SP, Brazil",-48.6252
"jurupema SP, Brazil",-48.651610868125
"monte alto SP, Brazil",-48.497066
"aparecida de monte alto SP, Brazil",-48.62417091944445
"vista alegre do alto SP, Brazil",-48.6299172
"candido rodrigues SP, Brazil",-48.6308798
"fernando prestes SP, Brazil",-48.687384
"agulha SP, Brazil",-48.71192142857143
"santa adelia SP, Brazil",-48.8061481
"botelho SP, Brazil",-48.7860167826087
"ariranha SP, Brazil",-48.790418
"santa ernestina SP, Brazil",-48.3912139
"dobrada SP, Brazil",-48.3938897
"matao SP, Brazil",-48.3660603
"matão SP, Brazil",-48.3660603
"aracatuba SP, Brazil",-50.4390225
"araçatuba SP, Brazil",-50.4390225
"santo antonio do aracangua SP, Brazil",-50.4953504
"birigui SP, Brazil",-50.34144
"bilac SP, Brazil",-50.47464
"gabriel monteiro SP, Brazil",-50.5533059
"piacatu SP, Brazil",-50.5972241
"santopolis do aguapei SP, Brazil",-50.5008527
"clementina SP, Brazil",-50.448624
