localizador,longitud
"estrela do indaia MG, Brazil",-45.7875
"serra da saudade MG, Brazil",-45.7931291
"abaete MG, Brazil",-45.4481213
"biquinhas MG, Brazil",-45.502222
"paineiras MG, Brazil",-45.534722
"pocoes de paineiras MG, Brazil",-45.39295
"cedro do abaete MG, Brazil",-45.711389
"quartel geral MG, Brazil",-45.5570007
"morada nova de minas MG, Brazil",-45.3513867
"pompeu MG, Brazil",-45.002778
"pitangui MG, Brazil",-44.890555
"onca de pitangui MG, Brazil",-44.807222
"leandro ferreira MG, Brazil",-45.0245003
"centro MG, Brazil",-42.9425494
"para de minas MG, Brazil",-44.6075313
"torneiros MG, Brazil",-44.744532453474534
"maravilhas MG, Brazil",-44.676389
"pequi MG, Brazil",-44.6597262
"conceicao do para MG, Brazil",-44.896944
"papagaios MG, Brazil",-44.7478694
"mateus leme MG, Brazil",-44.428056
"azurita MG, Brazil",-44.48009513978853
"serra azul MG, Brazil",-44.4222584
"juatuba MG, Brazil",-44.3407921
"itauna MG, Brazil",-44.576389
"itatiaiucu MG, Brazil",-44.4224889
"santa terezinha de minas MG, Brazil",-44.39121495656882
"florestal MG, Brazil",-44.4314766
"sao jose da varginha MG, Brazil",-44.5577812
"igaratinga MG, Brazil",-44.7089254
"antunes MG, Brazil",-44.690634192105264
"sete lagoas MG, Brazil",-44.246944
"baldim MG, Brazil",-43.9558262
"sao vicente MG, Brazil",-43.931034820028295
"funilandia MG, Brazil",-44.0599481
"inhauma MG, Brazil",-44.389166
"prudente de morais MG, Brazil",-44.155556
"matozinhos MG, Brazil",-44.0816035
"mocambeiro MG, Brazil",-44.010918156718894
"capim branco MG, Brazil",-46.8970553
"esmeraldas MG, Brazil",-44.3145945
"melo viana MG, Brazil",-44.174815325
"fortuna de minas MG, Brazil",-44.4451854
"cachoeira da prata MG, Brazil",-44.453056
"jequitiba MG, Brazil",-44.03063
"caetanopolis MG, Brazil",-44.4138386
"paraopeba MG, Brazil",-44.4034123
"aracai MG, Brazil",-44.2475
"cordisburgo MG, Brazil",-44.320278
"santana de pirapama MG, Brazil",-44.040833
"curvelo MG, Brazil",-44.4305993
"santa rita do cedro MG, Brazil",-44.223258145454544
"anguereta MG, Brazil",-44.608245999241035
"felixlandia MG, Brazil",-44.8991465
"inimutaba MG, Brazil",-44.3623971
"morro da garca MG, Brazil",-44.6030199
"ferros MG, Brazil",-43.019542
"esmeraldas de ferros MG, Brazil",-42.8781561
"passabem MG, Brazil",-43.1374619
"sao sebastiao do rio preto MG, Brazil",-43.1758535
"itambe do mato dentro MG, Brazil",-43.3223059
"jaboticatubas MG, Brazil",-43.745277
"santana do riacho MG, Brazil",-43.714444
"congonhas do norte MG, Brazil",-43.6783242
"conceicao do mato dentro MG, Brazil",-43.425278
"santo antonio do norte MG, Brazil",-43.55202902587837
"dom joaquim MG, Brazil",-43.2552141
"gororos MG, Brazil",-43.262100000000004
"morro do pilar MG, Brazil",-43.376667
"carmesia MG, Brazil",-43.1392003
"santo antonio do rio abaixo MG, Brazil",-43.2532149
"dores de guanhaes MG, Brazil",-42.9292569
"itabira MG, Brazil",-43.2267011
"ipoema MG, Brazil",-43.41433150237809
"senhora do carmo MG, Brazil",-43.423410166394234
"bom jesus do amparo MG, Brazil",-43.4752911
"santa maria de itabira MG, Brazil",-43.1167817
"nova era MG, Brazil",-42.8807584
"joao monlevade MG, Brazil",-43.173334
"sao goncalo do rio abaixo MG, Brazil",-43.362126
"bela vista de minas MG, Brazil",-43.0973688
"rio piracicaba MG, Brazil",-43.2322858
"alvinopolis MG, Brazil",-43.0601805
"fonseca MG, Brazil",-43.2423583001599
"santa barbara MG, Brazil",-43.415278
"barra feliz MG, Brazil",-43.45513488785359
"catas altas MG, Brazil",-43.4078304
"barao de cocais MG, Brazil",-43.4870298
"barão de cocais MG, Brazil",-43.4870298
"dionisio MG, Brazil",-42.776945
"sao jose do goiabal MG, Brazil",-42.7083162
"sao domingos do prata MG, Brazil",-42.9658318
"juiz de fora MG, Brazil",-43.3501129
"sarandira MG, Brazil",-43.1893104
"rosario de minas MG, Brazil",-43.6199796
"ewbank da camara MG, Brazil",-43.509722
"chacara MG, Brazil",-43.2206851
"matias barbosa MG, Brazil",-43.3180624
"simao pereira MG, Brazil",-43.311667
"belmiro braga MG, Brazil",-43.413564
"rio preto MG, Brazil",-46.696753
"santa barbara do monte verde MG, Brazil",-43.7024953
"santa rita de jacutinga MG, Brazil",-44.094444
"lima duarte MG, Brazil",-43.792777
"conceicao da ibitipoca MG, Brazil",-43.9254856
"olaria MG, Brazil",-43.9370942
"santana do garambeu MG, Brazil",-44.104167
"pedro teixeira MG, Brazil",-43.7492357
"rio novo MG, Brazil",-43.1250813
"goiana MG, Brazil",-43.2014
"coronel pacheco MG, Brazil",-43.2615975
"piau MG, Brazil",-43.320587
"guarani MG, Brazil",-43.0481021
"tabuleiro MG, Brazil",-43.2479134
"pirauba MG, Brazil",-43.025834
"rio pomba MG, Brazil",-43.178889
"silveirania MG, Brazil",-43.215556
"merces MG, Brazil",-43.3407272
"paiva MG, Brazil",-43.4175347
"barbacena MG, Brazil",-43.7735087
"costas da mantiqueira MG, Brazil",-43.63646564033757
"pinheiro grosso MG, Brazil",-43.723149046277086
"correia de almeida MG, Brazil",-43.617383221875
"desterro do melo MG, Brazil",-43.518329
"barroso MG, Brazil",-43.9771259
"dores de campos MG, Brazil",-44.0225
"santa barbara do tugurio MG, Brazil",-43.559444
"antonio carlos MG, Brazil",-43.746666
"ibertioga MG, Brazil",-43.966111
"piedade do rio grande MG, Brazil",-44.1939394
"bias fortes MG, Brazil",-43.756944
"santa rita do ibitipoca MG, Brazil",
"santos dumont MG, Brazil",-43.5522107
"dores do paraibuna MG, Brazil",-43.6109998
"sao joao da serra MG, Brazil",-43.4362538
"conceicao do formoso MG, Brazil",-43.3686061
"oliveira fortes MG, Brazil",-43.4577139
"aracitaba MG, Brazil",-43.378611
"alto rio doce MG, Brazil",-43.4133507
"abreus MG, Brazil",-43.291607285
"vitorinos MG, Brazil",-43.5117466868742
"cipotanea MG, Brazil",-43.365556
"ressaquinha MG, Brazil",-43.762778
"alfredo vasconcelos MG, Brazil",-43.776389
"senhora dos remedios MG, Brazil",-43.582778
"carandai MG, Brazil",-43.8043903
"capela nova MG, Brazil",-43.6179487
"sao joao del rei MG, Brazil",-44.2588086
"rio das mortes MG, Brazil",-43.871965
"sao sebastiao da vitoria MG, Brazil",-44.410053
"prados MG, Brazil",-44.0788784
"tiradentes MG, Brazil",-44.1742937
"santa cruz de minas MG, Brazil",-44.227261
"coronel xavier chaves MG, Brazil",-44.2233108
"ritapolis MG, Brazil",-44.3186566
"resende costa MG, Brazil",-44.237777
"lagoa dourada MG, Brazil",-44.077778
"sao tiago MG, Brazil",-44.509167
"merces de agua limpa MG, Brazil",-44.59197206100568
"conceicao da barra de minas MG, Brazil",-44.472223
"nazareno MG, Brazil",-44.6151354
"itutinga MG, Brazil",-44.6575084
"conselheiro lafaiete MG, Brazil",-43.785743
"congonhas MG, Brazil",-43.8564586
"alto maranhao MG, Brazil",-43.86071250857256
"ouro branco MG, Brazil",-43.6917329
"casa grande MG, Brazil",-43.928693
"queluzito MG, Brazil",-43.884444
"cristiano otoni MG, Brazil",-43.8053057
"caranaiba MG, Brazil",-43.7379458
"santana dos montes MG, Brazil",-43.6910376
"itaverava MG, Brazil",-43.6098991
"catas altas da noruega MG, Brazil",-43.4975
"lamim MG, Brazil",-43.4733218
"rio espera MG, Brazil",-43.3764832
"rio melo MG, Brazil",-43.54660645403237
"senhora de oliveira MG, Brazil",-43.344166
"presidente bernardes MG, Brazil",-43.1877237
"piranga MG, Brazil",-43.3
"santo antonio do pirapetinga MG, Brazil",-43.38736073870371
"pinheiros altos MG, Brazil",-43.24352194205818
"uba MG, Brazil",-42.942777
"rodeiro MG, Brazil",-42.865
"tocantins MG, Brazil",-43.0207206
"dores do turvo MG, Brazil",-43.188889
"guidoval MG, Brazil",-42.7997151
"visconde do rio branco MG, Brazil",-42.840833
"guiricema MG, Brazil",-42.7190891
"sao geraldo MG, Brazil",-42.8343489
"senador firmino MG, Brazil",-43.1001236
"bras pires MG, Brazil",-43.2430524
"paula candido MG, Brazil",-42.9862733
"divinesia MG, Brazil",-43.003889
"coimbra MG, Brazil",-42.8026943
"ervalia MG, Brazil",-42.653352
"cajuri MG, Brazil",-42.7954489
"porto firme MG, Brazil",-43.084444
"vicosa MG, Brazil",-42.8815888
"cachoeira de santa cruz MG, Brazil",-42.81160803636364
"teixeiras MG, Brazil",-42.8563275
"pedra do anta MG, Brazil",-42.7179792
"sao miguel do anta MG, Brazil",-42.7195395
"canaa MG, Brazil",-42.62
"araponga MG, Brazil",-42.520556
"estevao de araujo MG, Brazil",-42.48155677655677
"bicas MG, Brazil",-43.0604327
"rochedo de minas MG, Brazil",-43.0195125
"guarara MG, Brazil",-43.037777
"maripa de minas MG, Brazil",-42.959167
"pequeri MG, Brazil",-43.1207799
"santana do deserto MG, Brazil",-42.8311283
"chiador MG, Brazil",-43.057222
"mar de espanha MG, Brazil",-43.01
"senador cortes MG, Brazil",-42.9450985
"alem paraiba MG, Brazil",-42.6810473
"angustura MG, Brazil",-42.6766466
"santo antonio do aventureiro MG, Brazil",-42.815566
"sao domingos MG, Brazil",-42.784546875000004
"sao joao nepomuceno MG, Brazil",-43.0151428
"descoberto MG, Brazil",-42.967223
"leopoldina MG, Brazil",-42.6403534
"tebas MG, Brazil",-42.73662959443928
"ribeiro junqueira MG, Brazil",-42.51508413329341
"piacatuba MG, Brazil",-42.81216386190365
"argirita MG, Brazil",-42.8371922
"volta grande MG, Brazil",-42.539166
"estrela dalva MG, Brazil",-42.460833
"pirapetinga MG, Brazil",-42.345955
"recreio MG, Brazil",-42.4689256
"palma MG, Brazil",-43.9331557
"cisneiros MG, Brazil",-42.32445171342479
"itapirucu MG, Brazil",-42.31955431160674
"laranjal MG, Brazil",-42.477778
"cataguases MG, Brazil",-42.6957219
"sereno MG, Brazil",-42.649914938610735
"vista alegre MG, Brazil",-44.20642954545455
"cataguarino MG, Brazil",-42.73735926096404
"astolfo dutra MG, Brazil",-42.8624102
"dona euzebia MG, Brazil",-42.810556
"sao manoel do guaiacu MG, Brazil",-42.825
"itamarati de minas MG, Brazil",-42.817778
"mirai MG, Brazil",-42.6125153
"sao sebastiao da vargem alegre MG, Brazil",-42.6371378
"santana de cataguases MG, Brazil",-42.5569749
"carangola MG, Brazil",-42.029445
"alvorada MG, Brazil",-42.17210714285714
"ponte alta de minas MG, Brazil",-42.21693080501644
"sao francisco do gloria MG, Brazil",-42.2679636
"fervedouro MG, Brazil",-42.2785942
"divino MG, Brazil",-42.1474733
"orizania MG, Brazil",-42.2087072
"espera feliz MG, Brazil",-41.9080693
"caiana MG, Brazil",-41.924723
"caparao MG, Brazil",-41.9049984
"faria lemos MG, Brazil",-42.0127393
"tombos MG, Brazil",-42.0260716
"catune MG, Brazil",-42.13210174138037
"pedra dourada MG, Brazil",-42.1554636
"antonio prado de minas MG, Brazil",-42.1101106
"eugenopolis MG, Brazil",-42.1850985
"pinhotiba MG, Brazil",-42.196969290322585
"patrocinio do muriae MG, Brazil",-42.214444
"barao de monte alto MG, Brazil",-42.2375
"silveira carvalho MG, Brazil",-42.25717206173195
"cachoeira alegre MG, Brazil",-42.6684506
"rosario da limeira MG, Brazil",-42.5119
"muriae MG, Brazil",-42.366389
"macuco MG, Brazil",-42.4901208
"vermelho MG, Brazil",-42.44598410372065
"miradouro MG, Brazil",-42.3425
"vieiras MG, Brazil",-42.2448518
"manhuacu MG, Brazil",-42.0340769
"realeza MG, Brazil",-42.13865505329184
"sao pedro do avai MG, Brazil",-42.17530073459369
"santa margarida MG, Brazil",-42.2522123
"ribeirao de sao domingos MG, Brazil",-42.28653333333333
"sao joao do manhuacu MG, Brazil",-42.1499705
"reduto MG, Brazil",-41.9839974
"luisburgo MG, Brazil",-42.1025
"caputira MG, Brazil",-42.270278
"simonesia MG, Brazil",-42.0024294
"alegria MG, Brazil",-41.906830340382726
"santana do manhuacu MG, Brazil",-41.925556
"conceicao de ipanema MG, Brazil",-41.693889
"ipanema MG, Brazil",-41.7138807
"taparuba MG, Brazil",-41.614796
"mutum MG, Brazil",-41.438333
"sao francisco do humaita MG, Brazil",-41.35900330055722
"roseiral MG, Brazil",-41.36132368030991
"pocrane MG, Brazil",-41.6365314
"manhumirim MG, Brazil",-41.9554606
"martins soares MG, Brazil",-41.8761462
"durande MG, Brazil",-41.798055
"alto jequitiba MG, Brazil",-41.966111
"alto caparao MG, Brazil",-41.8683799
"lajinha MG, Brazil",-41.6240623
"chale MG, Brazil",-41.6914563
"sao jose do mantimento MG, Brazil",-41.7458061
"varginha MG, Brazil",-45.4340674
"eloi mendes MG, Brazil",-45.5660211
"monte belo MG, Brazil",-46.3649768
"paraguacu MG, Brazil",-45.7375
"alfenas MG, Brazil",-45.9479419
"divisa nova MG, Brazil",-46.1926626
"fama MG, Brazil",-45.8322579
"areado MG, Brazil",-46.1476688
"serrania MG, Brazil",-46.0404553
"alterosa MG, Brazil",-46.143055
"divino espirito santo MG, Brazil",-46.090370347088594
"conceicao da aparecida MG, Brazil",-46.204444
"carmo do rio claro MG, Brazil",-46.1186754
"campos gerais MG, Brazil",-45.7584127
"corrego do ouro MG, Brazil",-45.76456179025826
"campo do meio MG, Brazil",-45.8301735
"boa esperanca MG, Brazil",-45.5660195
"ilicinea MG, Brazil",-45.8263558
"guape MG, Brazil",-45.9174969
"tres pontas MG, Brazil",-45.5122937
"santana da vargem MG, Brazil",-45.5068185
"lavras MG, Brazil",-44.9991978
"ijaci MG, Brazil",-44.9280621
"itumirim MG, Brazil",-44.8705728
"macuco de minas MG, Brazil",-44.8275184421956
"ingai MG, Brazil",-44.917223
"bom sucesso MG, Brazil",-44.7598082
"ibituruna MG, Brazil",-44.7474347
"carmo da cachoeira MG, Brazil",-45.223334
"coqueiral MG, Brazil",-45.4409829
"luminarias MG, Brazil",-44.903813
"carrancas MG, Brazil",-44.6436151
"nepomuceno MG, Brazil",-45.2352276
"perdoes MG, Brazil",-45.0903543
"santo antonio do amparo MG, Brazil",-44.9187397
"ribeirao vermelho MG, Brazil",-45.0627632
"cana verde MG, Brazil",-45.1817881
"campo belo MG, Brazil",-45.277223
"aguanil MG, Brazil",-45.3927152
"cristais MG, Brazil",-45.518611
"santana do jacare MG, Brazil",-45.1274193
"candeias MG, Brazil",-45.2763777
"andrelandia MG, Brazil",-44.308889
"madre de deus de minas MG, Brazil",-44.329723
"bom jardim de minas MG, Brazil",-44.1906033
"tabuao MG, Brazil",-44.04191420516281
"passa vinte MG, Brazil",-44.234444
"bocaina de minas MG, Brazil",-44.394722
"liberdade MG, Brazil",-44.3208231
"arantina MG, Brazil",-44.255833
"sao vicente de minas MG, Brazil",-44.443889
"campanha MG, Brazil",-45.401986
"monsenhor paulo MG, Brazil",-45.541111
"sao bento abade MG, Brazil",-45.0759227
"sao thome das letras MG, Brazil",-44.9849435
"tres coracoes MG, Brazil",-45.2543675
"cambuquira MG, Brazil",-45.2953619
"conceicao do rio verde MG, Brazil",-45.0868526
"caxambu MG, Brazil",-44.9311403
"baependi MG, Brazil",-44.8891463
"cruzilia MG, Brazil",-44.808056
"minduri MG, Brazil",-44.6036995
"aiuruoca MG, Brazil",-44.6036637
"serranos MG, Brazil",-44.509444
"seritinga MG, Brazil",-44.5216061
"carvalhos MG, Brazil",-44.461667
"alagoa MG, Brazil",-44.6400042
"passa quatro MG, Brazil",-44.9666039
"itanhandu MG, Brazil",-44.9366732
"virginia MG, Brazil",-45.091666
"itamonte MG, Brazil",-44.8695785
"sao sebastiao do rio verde MG, Brazil",-44.9783312
"pouso alto MG, Brazil",-44.972778
"santana do capivari MG, Brazil",-44.91601966666667
"sao lourenco MG, Brazil",-45.054167
"carmo de minas MG, Brazil",-45.1323836
"dom vicoso MG, Brazil",-45.1603324
"cristina MG, Brazil",-45.264167
"soledade de minas MG, Brazil",-45.0448055
"lambari MG, Brazil",-45.3505415
"heliodora MG, Brazil",-45.542222
"jesuania MG, Brazil",-45.290833
"olimpio noronha MG, Brazil",-45.263889
"sao goncalo do sapucai MG, Brazil",-45.5935943
"turvolandia MG, Brazil",-45.786944
"cordislandia MG, Brazil",-45.7029983
"itajuba MG, Brazil",-45.4524156
"piranguinho MG, Brazil",-45.5338952
"sao jose do alegre MG, Brazil",-45.5284585
"pirangucu MG, Brazil",-45.4961066
"wenceslau braz MG, Brazil",-45.3614735
"delfim moreira MG, Brazil",-45.2792398
"marmelopolis MG, Brazil",-45.165278
"maria da fe MG, Brazil",-45.3752771
"pedralva MG, Brazil",-45.4659922
"natercia MG, Brazil",-45.511389
"conceicao das pedras MG, Brazil",-45.4550521
"brasopolis MG, Brazil",-45.6165577
"luminosa MG, Brazil",-45.61326483839035
"santa rita do sapucai MG, Brazil",-45.7064507
"estiva MG, Brazil",-46.0182101
"cachoeira de minas MG, Brazil",-45.7796324
"itaim MG, Brazil",-45.86755312596907
"conceicao dos ouros MG, Brazil",-45.797777
"pouso alegre MG, Brazil",-45.9327241
"careacu MG, Brazil",-45.6995247
"congonhal MG, Brazil",-46.0404698
"ipuiuna MG, Brazil",-46.1896557
"tocos do moji MG, Brazil",-46.0964763
"borda da mata MG, Brazil",-46.165278
"espirito santo do dourado MG, Brazil",-45.950833
"sao sebastiao da bela vista MG, Brazil",-45.754167
"sao joao da mata MG, Brazil",-45.9287155
"ouro fino MG, Brazil",-46.369167
"crisolia MG, Brazil",-46.41378985497914
"inconfidentes MG, Brazil",-46.3279182
"bueno brandao MG, Brazil",-46.3517971
"monte siao MG, Brazil",-46.572778
"senador jose bento MG, Brazil",-46.1785855
"silvianopolis MG, Brazil",-45.835277
"jacutinga MG, Brazil",-46.612222
"albertina MG, Brazil",-43.784039
"cambui MG, Brazil",-46.0572137
"corrego do bom jesus MG, Brazil",-46.019723
"bom repouso MG, Brazil",-46.1485376
"senador amaral MG, Brazil",-46.17769167394954
"munhoz MG, Brazil",-46.360556
"toledo MG, Brazil",-46.3735044
"extrema MG, Brazil",-46.3190079
"camanducaia MG, Brazil",-46.144444
"sao mateus de minas MG, Brazil",-45.98545366675342
"itapeva MG, Brazil",-46.23015850595238
"paraisopolis MG, Brazil",-45.7800024
"consolacao MG, Brazil",-45.921111
"goncalves MG, Brazil",-45.8558405
"sapucai-mirim MG, Brazil",-45.7427651
"pocos de caldas MG, Brazil",-46.5647928
"botelhos MG, Brazil",-46.394722
"palmeiral MG, Brazil",-46.5161090942278
"campestre MG, Brazil",-43.219378
"bandeira do sul MG, Brazil",-46.385555
"machado MG, Brazil",-45.9211696
"poco fundo MG, Brazil",-45.965
"carvalhopolis MG, Brazil",-45.8412117
"santa rita de caldas MG, Brazil",-46.336944
"caldas MG, Brazil",-46.386111
"santana de caldas MG, Brazil",-46.40272099407497
"ibitiura de minas MG, Brazil",-46.439722
"andradas MG, Brazil",-46.5688976
"guaxupe MG, Brazil",-46.7190609
"juruaia MG, Brazil",-46.577223
"guaranesia MG, Brazil",-46.7956962
"santa cruz do prata MG, Brazil",-46.78135714491833
"arceburgo MG, Brazil",-46.939722
"sao pedro da uniao MG, Brazil",-46.6175338
"nova resende MG, Brazil",-46.424537
"petunia MG, Brazil",-46.40310064913138
"cabo verde MG, Brazil",-46.3964995
"muzambinho MG, Brazil",-46.522317
"passos MG, Brazil",-46.6156864
"fortaleza de minas MG, Brazil",-46.712222
"delfinopolis MG, Brazil",-46.8546425
"sao joao batista do gloria MG, Brazil",-46.5052866
"vargem bonita MG, Brazil",-46.3668419
"piumhi MG, Brazil",-45.9576125
"doresopolis MG, Brazil",-45.903056
"são josé do barreiro MG, Brazil",-46.51329398002095
"sao roque de minas MG, Brazil",-46.365833
"capitolio MG, Brazil",-46.0487652
"alpinopolis MG, Brazil",-46.387777
"sao jose da barra MG, Brazil",-46.3125073
"bom jesus da penha MG, Brazil",-46.5213848
"sao sebastiao do paraiso MG, Brazil",-46.9823296
"guardinha MG, Brazil",-47.155146
"itamogi MG, Brazil",-47.048612
"monte santo de minas MG, Brazil",-46.98
"sao tomas de aquino MG, Brazil",-47.097717
"jacui MG, Brazil",-46.7458301
"pratapolis MG, Brazil",-46.861111
"itau de minas MG, Brazil",-46.752222
"cassia MG, Brazil",-46.9262786
"ibiraci MG, Brazil",-47.122223
"capetinga MG, Brazil",-47.0577418
"claraval MG, Brazil",-47.2851534
"uberaba MG, Brazil",-47.936666
"ponte alta MG, Brazil",-47.68477760774019
"delta MG, Brazil",-47.7711
"agua comprida MG, Brazil",-48.1093074
"conceicao das alagoas MG, Brazil",-48.3803414
"campo florido MG, Brazil",-48.572223
"prata MG, Brazil",-48.923889
"verissimo MG, Brazil",-48.308771
"nova ponte MG, Brazil",-47.6717642
"perdizes MG, Brazil",-47.2938235
"santa juliana MG, Brazil",-47.525
"pedrinopolis MG, Brazil",-47.461944
"araxa MG, Brazil",-46.940241
"tapira MG, Brazil",-46.823056
"sacramento MG, Brazil",-47.4402746
"conquista MG, Brazil",-47.543055
"guaxima MG, Brazil",-47.57257908863636
"frutal MG, Brazil",-48.9280076
"aparecida de minas MG, Brazil",-49.200791236535046
"pirajuba MG, Brazil",-48.701683
"planura MG, Brazil",-48.7066819
"fronteira MG, Brazil",-49.202778
"itapagipe MG, Brazil",-49.3666934
"comendador gomes MG, Brazil",-49.0843408
"sao francisco de sales MG, Brazil",-49.773889
"campina verde MG, Brazil",-49.486389
"honorópolis MG, Brazil",-50.0269568325418
"iturama MG, Brazil",-50.193488
"alexandrita MG, Brazil",-50.48576627985358
"uniao de minas MG, Brazil",-50.3317301
"carneirinho MG, Brazil",-50.688055
"sao sebastiao do pontal MG, Brazil",-50.9226363269723
"estrela da barra MG, Brazil",-50.746151478404535
"limeira d oeste MG, Brazil",-50.65447267470917
"ituiutaba MG, Brazil",-49.4639335
"gurinhata MG, Brazil",-49.7840077
"santa vitoria MG, Brazil",-50.1292823
"chaveslandia MG, Brazil",-50.300412224055435
"perdilandia MG, Brazil",-50.30863379117973
"ipiacu MG, Brazil",-49.9439567
"capinopolis MG, Brazil",-49.569723
"cachoeira dourada MG, Brazil",-49.5139895
"canapolis MG, Brazil",-49.2016329
"centralina MG, Brazil",-49.1954739
"uberlandia MG, Brazil",-48.2767837
"monte alegre de minas MG, Brazil",-48.880556
"tupaciguara MG, Brazil",-48.6999014
"arapora MG, Brazil",-49.188313
"martinesia MG, Brazil",-48.450892186466184
"araguari MG, Brazil",-48.1933764
"amanhece MG, Brazil",-48.21576442803962
"cascalho rico MG, Brazil",-47.875774
"grupiara MG, Brazil",-47.7225
"indianopolis MG, Brazil",-47.9178436
"monte carmelo MG, Brazil",-47.4958859
"irai de minas MG, Brazil",-47.4642202
"romaria MG, Brazil",-47.5854354
"estrela do sul MG, Brazil",-47.6900736
"douradoquara MG, Brazil",-47.608269
"abadia dos dourados MG, Brazil",-47.4063589
"coromandel MG, Brazil",-47.200278
"guarda-mor MG, Brazil",-47.0986827
"paracatu MG, Brazil",-46.8707514
"unai MG, Brazil",-46.892413
"cabeceira grande MG, Brazil",-47.0906
"palmital de minas MG, Brazil",-47.24600061689935
"uruana de minas MG, Brazil",-46.2556
"riachinho MG, Brazil",-45.9997305
"urucuia MG, Brazil",-45.7393046
"bonfinopolis de minas MG, Brazil",-45.98645
"dom bosco MG, Brazil",-46.2677917
"natalandia MG, Brazil",-46.4933
"buritis MG, Brazil",-46.423889
"serra bonita MG, Brazil",-46.703513355215506
"arinos MG, Brazil",-46.106111
"chapada gaucha MG, Brazil",-45.6284904
"formoso MG, Brazil",-46.234247
"patos de minas MG, Brazil",-46.5096698
"major porto MG, Brazil",-46.0447889
"santana de patos MG, Brazil",-46.561263450000006
"pilar MG, Brazil",-46.82780237261497
"lagoa formosa MG, Brazil",-46.4082511
"guimarania MG, Brazil",-46.7925141
"cruzeiro da fortaleza MG, Brazil",-46.6738005
"brejo bonito MG, Brazil",-46.62429255681895
"patrocinio MG, Brazil",-46.9926624
"presidente olegario MG, Brazil",-46.419723
"lagoa grande MG, Brazil",-46.517223
"serra do salitre MG, Brazil",-46.6809858
"joao pinheiro MG, Brazil",-46.175278
"olhos d'agua do oeste MG, Brazil",-45.896335197909906
"canabrava MG, Brazil",-45.72844352837423
"luizlandia do oeste MG, Brazil",-45.57487893460474
"brasilandia de minas MG, Brazil",-46.0087622
"vazante MG, Brazil",-46.9003899
"lagamar MG, Brazil",-46.8077038
"sao goncalo do abaete MG, Brazil",-45.834112
"varjao de minas MG, Brazil",-46.030627
"sao gotardo MG, Brazil",-46.0476596
"guarda dos ferreiros MG, Brazil",-46.0756268898548
"santa rosa da serra MG, Brazil",-45.9659869
"rio paranaiba MG, Brazil",-46.2410263
"carmo do paranaiba MG, Brazil",-46.306916
"arapua MG, Brazil",-46.155556
"matutina MG, Brazil",-45.9701654
"tiros MG, Brazil",-45.963611
"bambui MG, Brazil",-45.9777034
"iguatama MG, Brazil",-45.711111
"medeiros MG, Brazil",-46.2210801
"ibia MG, Brazil",-46.5386956
"pratinha MG, Brazil",-46.3824103
"campos altos MG, Brazil",-46.171389
"tapirai MG, Brazil",-46.0202739
"corrego danta MG, Brazil",-45.904167
"diamantina MG, Brazil",-43.6006487
"guinda MG, Brazil",-43.7280918882569
"sao joao da chapada MG, Brazil",-43.74672775866354
"senador mourao MG, Brazil",-43.53861834772438
"desembargador otoni MG, Brazil",-43.403787949948516
"gouvea MG, Brazil",-45.9267329
"datas MG, Brazil",-43.6584287
"presidente kubitschek MG, Brazil",-43.561667
"alvorada de minas MG, Brazil",-43.3641479
"serro MG, Brazil",-43.379445
"sao goncalo do rio das pedras MG, Brazil",-43.4956084
"milho verde MG, Brazil",-43.50590573700694
"santo antonio do itambe MG, Brazil",-43.305993
"serra azul de minas MG, Brazil",-43.1702095
"rio vermelho MG, Brazil",-43.0276643
"pedra menina MG, Brazil",-43.1388431
"felicio dos santos MG, Brazil",-43.2471128
"sao goncalo do rio preto MG, Brazil",-43.3811575
"couto de magalhaes de minas MG, Brazil",-43.4718628
"senador modestino goncalves MG, Brazil",-43.2257678
"corinto MG, Brazil",-44.456111
"tres marias MG, Brazil",-45.247289
"andrequice MG, Brazil",-44.9840444
"santo hipolito MG, Brazil",-44.2214292
"monjolos MG, Brazil",-44.1187729
"augusto de lima MG, Brazil",-44.2651945
"buenopolis MG, Brazil",-44.1749365
"joaquim felicio MG, Brazil",-44.1701635
"presidente juscelino MG, Brazil",-44.0604419
"lassance MG, Brazil",-44.576667
"varzea da palma MG, Brazil",-44.7317086
"guaicui MG, Brazil",-44.74625133468676
"pirapora MG, Brazil",-44.9507904
"buritizeiro MG, Brazil",-44.9647781
"sao romao MG, Brazil",-45.0678597
"santa fe de minas MG, Brazil",-45.4139828
"sao francisco MG, Brazil",-44.864444
"pintopolis MG, Brazil",-45.1466972
"icarai de minas MG, Brazil",-44.9023441
"ubai MG, Brazil",-44.7823835
"bentópolis de minas MG, Brazil",-44.920888731027375
"ponto chique MG, Brazil",-45.0637456
"brasilia de minas MG, Brazil",-44.430559
"japonvar MG, Brazil",-44.2755057
"luislandia MG, Brazil",-44.5849349
"campo azul MG, Brazil",-44.8133524
"coracao de jesus MG, Brazil",-44.3577401
"luiz pires de minas MG, Brazil",-44.233328867854496
"alvacao MG, Brazil",-44.13204440791408
"ibiai MG, Brazil",-44.913889
"sao joao da lagoa MG, Brazil",-44.3460615
"lagoa dos patos MG, Brazil",-43.88381791229015
"engenheiro navarro MG, Brazil",-43.9515719
"sao joao do pacui MG, Brazil",-44.5309375
"jequitai MG, Brazil",-44.4383463
"mirabela MG, Brazil",-44.1639075
"patis MG, Brazil",-44.0805727
