state_sigla,city,localizador,latitud
SP,cacapava,"cacapava SP, Brazil",-23.099204
SP,caçapava,"caçapava SP, Brazil",-23.099204
SP,jacarei,"jacarei SP, Brazil",-23.30528
SP,igarata,"igarata SP, Brazil",-23.2063475
SP,santa branca,"santa branca SP, Brazil",-23.3974353
SP,pindamonhangaba,"pindamonhangaba SP, Brazil",-22.9364
SP,santo antonio do pinhal,"santo antonio do pinhal SP, Brazil",-22.8250504
SP,campos do jordao,"campos do jordao SP, Brazil",-22.7395263
SP,sao bento do sapucai,"sao bento do sapucai SP, Brazil",-22.6884605
SP,guaratingueta,"guaratingueta SP, Brazil",-22.8057839
SP,potim,"potim SP, Brazil",-22.8377227
SP,cunha,"cunha SP, Brazil",-23.07753
SP,campos de cunha,"campos de cunha SP, Brazil",-22.8925
SP,aparecida,"aparecida SP, Brazil",-22.851552
SP,roseira,"roseira SP, Brazil",-22.8980898
SP,lorena,"lorena SP, Brazil",-22.7367652
SP,canas,"canas SP, Brazil",-22.7029347
SP,piquete,"piquete SP, Brazil",-22.6138451
SP,cachoeira paulista,"cachoeira paulista SP, Brazil",-22.666498
SP,silveiras,"silveiras SP, Brazil",-22.66384
SP,cruzeiro,"cruzeiro SP, Brazil",-22.5783685
SP,lavrinhas,"lavrinhas SP, Brazil",-22.570047
SP,pinheiros,"pinheiros SP, Brazil",-23.567249
SP,queluz,"queluz SP, Brazil",-22.5371881
SP,areias,"areias SP, Brazil",-22.5800929
SP,sao jose do barreiro,"sao jose do barreiro SP, Brazil",-22.6452376
SP,bananal,"bananal SP, Brazil",-22.6828195
SP,arapei,"arapei SP, Brazil",-22.6738889
SP,braganca paulista,"braganca paulista SP, Brazil",-22.9520235
SP,tuiuti,"tuiuti SP, Brazil",-22.819324
SP,vargem,"vargem SP, Brazil",-22.8902379
SP,atibaia,"atibaia SP, Brazil",-23.1177393
SP,bom jesus dos perdoes,"bom jesus dos perdoes SP, Brazil",-23.1353864
SP,nazare paulista,"nazare paulista SP, Brazil",-23.1819309
SP,piracaia,"piracaia SP, Brazil",-23.052545
SP,joanopolis,"joanopolis SP, Brazil",-22.930004
SP,pedra bela,"pedra bela SP, Brazil",-22.7950193
SP,pinhalzinho,"pinhalzinho SP, Brazil",-22.7824349
SP,campinas,"campinas SP, Brazil",-22.90556
SP,paulinia,"paulinia SP, Brazil",-22.7630391
SP,cosmopolis,"cosmopolis SP, Brazil",-22.6437398
SP,artur nogueira,"artur nogueira SP, Brazil",-22.572737
SP,engenheiro coelho,"engenheiro coelho SP, Brazil",-22.4896659
SP,sumare,"sumare SP, Brazil",-22.8217964
