zip_code_prefix,region_name,id_state,state_sigla,state_name,city,localizador,latitud,longitud
11660,Sudeste,35,SP,São Paulo,caraguatatuba,"caraguatatuba SP, Brazil",-23.62028,-45.41306
11680,Sudeste,35,SP,São Paulo,ubatuba,"ubatuba SP, Brazil",-23.433162,-45.083415
11700,Sudeste,35,SP,São Paulo,praia grande,"praia grande SP, Brazil",-24.005833,-46.402778
11730,Sudeste,35,SP,São Paulo,mongagua,"mongagua SP, Brazil",-24.0959454,-46.6234361
11740,Sudeste,35,SP,São Paulo,itanhaem,"itanhaem SP, Brazil",-24.1848847,-46.7921572
11750,Sudeste,35,SP,São Paulo,peruibe,"peruibe SP, Brazil",-24.3218105,-46.9977452
11760,Sudeste,35,SP,São Paulo,itariri,"itariri SP, Brazil",-24.2900711,-47.176151
11770,Sudeste,35,SP,São Paulo,ana dias,"ana dias SP, Brazil",-24.2773727,-47.066328053571425
11790,Sudeste,35,SP,São Paulo,pedro de toledo,"pedro de toledo SP, Brazil",-24.2769071,-47.23393
11800,Sudeste,35,SP,São Paulo,juquia,"juquia SP, Brazil",-24.3172209,-47.6355618
11850,Sudeste,35,SP,São Paulo,miracatu,"miracatu SP, Brazil",-24.2839078,-47.4535128
11900,Sudeste,35,SP,São Paulo,registro,"registro SP, Brazil",-24.497942,-47.844895
11910,Sudeste,35,SP,São Paulo,sete barras,"sete barras SP, Brazil",-24.3878438,-47.9265798
11920,Sudeste,35,SP,São Paulo,iguape,"iguape SP, Brazil",-24.7042692,-47.5563733
11925,Sudeste,35,SP,São Paulo,ilha comprida,"ilha comprida SP, Brazil",-24.7445292,-47.5525529
11930,Sudeste,35,SP,São Paulo,pariquera-acu,"pariquera-acu SP, Brazil",-24.7146891,-47.8802361
11940,Sudeste,35,SP,São Paulo,jacupiranga,"jacupiranga SP, Brazil",-24.703773,-48.0060639
11950,Sudeste,35,SP,São Paulo,cajati,"cajati SP, Brazil",-24.7272376,-48.1077914
11955,Sudeste,35,SP,São Paulo,barra do turvo,"barra do turvo SP, Brazil",-24.756421,-48.5056942
11960,Sudeste,35,SP,São Paulo,eldorado,"eldorado SP, Brazil",-24.522583,-48.1093489
11990,Sudeste,35,SP,São Paulo,cananeia,"cananeia SP, Brazil",-25.0104609,-47.9315628
12010,Sudeste,35,SP,São Paulo,taubate,"taubate SP, Brazil",-23.031448,-45.5612792
12120,Sudeste,35,SP,São Paulo,tremembe,"tremembe SP, Brazil",-22.95714,-45.547526
12130,Sudeste,35,SP,São Paulo,lagoinha,"lagoinha SP, Brazil",-23.0898337,-45.1903825
12140,Sudeste,35,SP,São Paulo,sao luis do paraitinga,"sao luis do paraitinga SP, Brazil",-23.2220531,-45.3108444
12150,Sudeste,35,SP,São Paulo,catucaba,"catucaba SP, Brazil",-23.2916226,-45.21067510761371
12170,Sudeste,35,SP,São Paulo,redencao da serra,"redencao da serra SP, Brazil",-23.2803652,-45.5345747
12180,Sudeste,35,SP,São Paulo,natividade da serra,"natividade da serra SP, Brazil",-23.3783786,-45.4438173
12249,Sudeste,35,SP,São Paulo,sao francisco xavier,"sao francisco xavier SP, Brazil",-22.9133573,-45.9593162
12250,Sudeste,35,SP,São Paulo,monteiro lobato,"monteiro lobato SP, Brazil",-22.9553542,-45.8387146
12260,Sudeste,35,SP,São Paulo,paraibuna,"paraibuna SP, Brazil",-23.3864203,-45.6626797
12270,Sudeste,35,SP,São Paulo,jambeiro,"jambeiro SP, Brazil",-23.2556416,-45.6919926
12280,Sudeste,35,SP,São Paulo,cacapava,"cacapava SP, Brazil",-23.099204,-45.707645
